id;iterations;dim;time;checksum;seed
reference/baseline;100;32768;2328.98;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.37;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.16;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.28;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.14;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.16;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.13;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2328.89;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2328.98;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;100;32768;2329.29;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/baseline;10000;2048;879.308;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;879.174;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.518;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.207;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.205;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.482;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.164;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.378;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.279;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;10000;2048;878.241;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/baseline;100;16384;570.131;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.099;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.117;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.13;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.072;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.059;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.025;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.046;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.003;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;100;16384;570.072;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/baseline;1000;8192;1407.92;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.93;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.87;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.87;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1408.47;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.94;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1408.34;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1408;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.96;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;8192;1407.91;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/baseline;1000;4096;358.212;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.151;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.186;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.186;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.24;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.193;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.207;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.165;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.18;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/baseline;1000;4096;358.165;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;10000;2048;224.839;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.865;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.848;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.825;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.862;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.844;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.877;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.875;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.874;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;10000;2048;224.873;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/naive-bitwise;1000;4096;61.7711;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7568;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7638;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7776;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7944;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7687;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7785;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7717;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7738;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;4096;61.7666;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/naive-bitwise;1000;8192;268.099;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.06;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;267.99;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;267.997;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.033;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.033;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.055;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;282.361;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.094;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;1000;8192;268.025;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/naive-bitwise;100;16384;95.0721;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;112.262;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;95.0714;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;95.0627;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;95.0704;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;112.288;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;102.034;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;102.044;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;95.0524;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;16384;111.54;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/naive-bitwise;100;32768;440.881;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;432.539;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;431.874;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;428.631;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;438.462;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;437.695;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;425.914;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;430.759;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
